FirstName,LastName,AccountName,Email,Phone
Yoni,Yonas,ABC Account,yoni@yonas.com,240-240-2424
Yonas,Yoni,XYZ Account,yonas@yoni.com,202-202-2020
Yon,Yon,Yo Account,yo@yoyo.com,301-301-3030
John,Doe,JDoe Account,John@Doe.com,240-240-2424
Jane,Doe,Jane Account,Jane@Jane.com,111-202-2222
Jane,John,Joe Account,yo@yoyo.com,555-333-3030
Mike,Michael,ABC Account,yoni@yonas.com,240-240-2424
Joe,Yoni,XYZ Account,yonas@yoni.com,202-202-2020
Mike,Yon,Yo Account,yo@yoyo.com,301-301-3030
David,Doe,JDoe Account,John@Doe.com,240-240-2424
Anbe,Doe,Jane Account,Jane@Jane.com,111-202-2222
Kuku,John,Joe Account,yo@yoyo.com,555-333-3030
